root@a56667d02c60:/# dieharder -a -f data.txt
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                         a.input|  1.05e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  22|   1000000|     100|0.16158151|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.97381165|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.47653308|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.65804861|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.66436696|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.72694809|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.74423501|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.24345565|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.15245096|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.20368525|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.13566284|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.32414335|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.32701944|  PASSED
             dab_dct| 256|     50000|       1|0.80137686|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.36302282|  PASSED
        dab_filltree|  32|  15000000|       1|0.76198611|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.01419627|  PASSED
       dab_filltree2|   1|   5000000|       1|0.60975386|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.97230296|  PASSED
